Sequence,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT (OpenCV) [kp:512; match:nn],SuperPoint [kp:512; match:nn]
BM,0.10618611111111109,0.11833055555555551,0.18699722222222215,0.06913333333333332,0.4354555555555556
FCS,0.12460277777777776,0.05811388888888892,0.2006055555555556,0.01117777777777778,0.20053888888888882
LMS,0.12115555555555554,0.13640555555555556,0.3026305555555555,0.04878333333333332,0.6051194444444447
LB,0.17459999999999992,0.18470555555555557,0.33964166666666673,0.00827777777777778,0.6116583333333334
MC,0.15483888888888886,0.045475,0.3109305555555556,0.006038888888888889,0.3634222222222222
MR,0.050386111111111104,0.03127222222222222,0.11156944444444442,0.01410555555555556,0.34385
PSM,0.0034222222222222223,0.0017194444444444453,0.021497222222222223,0.004036111111111112,0.11755555555555552
RS,0.14815,0.15316666666666667,0.2864388888888888,0.08775555555555556,0.34489444444444445
SF,0.0043611111111111125,0.11021944444444441,0.24428055555555567,0.005330555555555557,0.3850833333333333
SPC,0.20278333333333332,0.08628055555555557,0.21023055555555556,0.01002222222222222,0.4503277777777778
USC,0.08494999999999997,0.00030833333333333326,0.008033333333333333,0.0028222222222222225,0.08708333333333336
Avg,0.10685782828282825,0.08418156565656566,0.20207777777777775,0.024316666666666667,0.3586353535353536
