Sequence,DELF [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT (OpenCV) [kp:512; match:nn],SuperPoint [kp:512; match:nn]
BM,0.0685211699734097,0.05686234403763551,0.006749846594395582,0.07772550623849458
FCS,0.014844804318488529,0.017768780926675665,0.000899685110211426,0.017768780926675665
LMS,0.029957522915269395,0.029733959311424103,0.0011178180192264698,0.044489157165213504
LB,0.028203342618384402,0.057103064066852366,0.017409470752089137,0.0828690807799443
MC,0.023577235772357725,0.023577235772357725,0.0026422764227642275,0.031504065040650404
MR,0.009894736842105263,0.010736842105263157,0.007578947368421052,0.014315789473684212
PSM,0.028265107212475632,0.02631578947368421,0.003654970760233918,0.02729044834307992
RS,0.03767286599904626,0.03195040534096329,0.004768717215069146,0.04148783977110157
SF,0.011618257261410789,0.020746887966804982,0.0004149377593360996,0.024481327800829875
SPC,0.017338625443910592,0.009191560476289952,0.0004177982034677251,0.01712972634217673
USC,0.022945032778618257,0.031013615733736764,0.008572869389813415,0.03580433686333838
Avg,0.026621700103225142,0.028636407746517066,0.004929757963184382,0.03771509624956265
